file_name,category,reaction_name,best_use_case,suggested_capcut_animation,suggested_on_screen_phrase,animation_preset,suggested_duration_sec,source_path,capcut_ready_png,gif,webm
yanna_sig_01_side_eye.png,signature,side_eye,"Reacting to a shady comment, plot twist, or questionable take.",In: Fade · Loop: Wiggle · Out: Fade,Ma'am. We saw that.,wiggle,2.0,source/signature/yanna_sig_01_side_eye.png,exports/capcut-ready-png/signature/yanna_sig_01_side_eye.png,exports/gif/signature/yanna_sig_01_side_eye_wiggle.gif,exports/webm/signature/yanna_sig_01_side_eye_wiggle.webm
yanna_sig_02_tiny_clap.png,signature,tiny_clap,Sarcastic praise or celebrating a tiny win.,In: Bounce · Loop: Shake · Out: Fade,"Okay, do it again 👏",clap_shake,2.0,source/signature/yanna_sig_02_tiny_clap.png,exports/capcut-ready-png/signature/yanna_sig_02_tiny_clap.png,exports/gif/signature/yanna_sig_02_tiny_clap_clap_shake.gif,exports/webm/signature/yanna_sig_02_tiny_clap_clap_shake.webm
yanna_sig_03_girl_face.png,signature,girl_face,Deadpan disapproval / calling out a bad idea.,In: Zoom In · Loop: Pulse · Out: Fade,Girl… no.,pulse,2.0,source/signature/yanna_sig_03_girl_face.png,exports/capcut-ready-png/signature/yanna_sig_03_girl_face.png,exports/gif/signature/yanna_sig_03_girl_face_pulse.gif,exports/webm/signature/yanna_sig_03_girl_face_pulse.webm
yanna_sig_04_caption_pointer.png,signature,caption_pointer,Directing the viewer to on-screen text or a CTA.,In: Rise · Out: Fade,Read that part again ⬆️,pop_in,2.5,source/signature/yanna_sig_04_caption_pointer.png,exports/capcut-ready-png/signature/yanna_sig_04_caption_pointer.png,exports/gif/signature/yanna_sig_04_caption_pointer_pop_in.gif,exports/webm/signature/yanna_sig_04_caption_pointer_pop_in.webm
yanna_sig_05_panic_spin.png,signature,panic_spin,"Overwhelm, deadlines, chaos moments.",In: Spin · Loop: Wiggle · Out: Zoom Out,It's giving overwhelmed 😩,wiggle,2.0,source/signature/yanna_sig_05_panic_spin.png,exports/capcut-ready-png/signature/yanna_sig_05_panic_spin.png,exports/gif/signature/yanna_sig_05_panic_spin_wiggle.gif,exports/webm/signature/yanna_sig_05_panic_spin_wiggle.webm
yanna_sig_06_money_eyes.png,signature,money_eyes,"Sales, pricing reveals, anything money.",In: Zoom In · Loop: Heartbeat · Out: Fade,Cha-ching 💰,pulse,1.8,source/signature/yanna_sig_06_money_eyes.png,exports/capcut-ready-png/signature/yanna_sig_06_money_eyes.png,exports/gif/signature/yanna_sig_06_money_eyes_pulse.gif,exports/webm/signature/yanna_sig_06_money_eyes_pulse.webm
yanna_sig_07_mom_glitch.png,signature,mom_glitch,Relatable tired-mom / 'brb' moments.,In: Slide (left) · Out: Slide (right),Mom brain. Standby ☕,slide_in,2.2,source/signature/yanna_sig_07_mom_glitch.png,exports/capcut-ready-png/signature/yanna_sig_07_mom_glitch.png,exports/gif/signature/yanna_sig_07_mom_glitch_slide_in.gif,exports/webm/signature/yanna_sig_07_mom_glitch_slide_in.webm
yanna_sig_08_idea_explosion.png,signature,idea_explosion,Aha moment / introducing a tip or idea.,In: Bounce · Loop: Pulse · Out: Fade,Wait — I got it 💡,pop_in,2.0,source/signature/yanna_sig_08_idea_explosion.png,exports/capcut-ready-png/signature/yanna_sig_08_idea_explosion.png,exports/gif/signature/yanna_sig_08_idea_explosion_pop_in.gif,exports/webm/signature/yanna_sig_08_idea_explosion_pop_in.webm
yanna_sig_09_soft_life_sigh.png,signature,soft_life_sigh,"Self-care, relaxation, soft-life content.",In: Fade · Loop: Float · Out: Fade,Soft life only ☁️,float,2.5,source/signature/yanna_sig_09_soft_life_sigh.png,exports/capcut-ready-png/signature/yanna_sig_09_soft_life_sigh.png,exports/gif/signature/yanna_sig_09_soft_life_sigh_float.gif,exports/webm/signature/yanna_sig_09_soft_life_sigh_float.webm
yanna_sig_10_be_for_real_stare.png,signature,be_for_real_stare,Calling out nonsense / 'really?' beat.,In: Zoom In · Loop: Pulse · Out: Fade,Be so for real.,pulse,2.0,source/signature/yanna_sig_10_be_for_real_stare.png,exports/capcut-ready-png/signature/yanna_sig_10_be_for_real_stare.png,exports/gif/signature/yanna_sig_10_be_for_real_stare_pulse.gif,exports/webm/signature/yanna_sig_10_be_for_real_stare_pulse.webm
