Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
custom-celebration-design-package,Custom Celebration Design Package,"<p>Two ways to level up your celebration. The PREMIUM SUITE adds a coordinated set of statement pieces on top of your party - think a custom shirt, a welcome sign, and treat-table accents that tie the whole theme together. The FULL PARTY EXPERIENCE is the party: banners, backdrops, signage, favors, stickers, and keepsakes - the entire array, designed from a blank page as one cohesive world built around your story.</p><p><em>Picture the room, hear the gasps, feel the moment land - we design every touchpoint to hit.</em></p>",Color Create Studio,,Bundle,"celebration, event, package, custom, suite, Custom Celebration Design, Bundle",FALSE,Package,Premium Suite - Party Accents,,,,,CUSTOMCELEBRAT-01,400,,,continue,manual,295.00,,TRUE,TRUE,,,,,FALSE,Custom Celebration Design Package | Color Create Studio,,draft
custom-celebration-design-package,,,,,,,FALSE,Package,Full Party Experience - The Works,,,,,CUSTOMCELEBRAT-02,1200,,,continue,manual,750.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-birthday-shirt,Custom Birthday Shirt,"<p>A birthday shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, birthday, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMBIRTHDAY-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Birthday Shirt | Color Create Studio,,draft
custom-birthday-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMBIRTHDAY-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-memorial-shirt,Custom Memorial Shirt,"<p>A memorial shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, memorial, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMMEMORIAL-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Memorial Shirt | Color Create Studio,,draft
custom-memorial-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMMEMORIAL-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-graduation-shirt,Custom Graduation Shirt,"<p>A graduation shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, graduation, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMGRADUATI-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Graduation Shirt | Color Create Studio,,draft
custom-graduation-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMGRADUATI-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
custom-family-reunion-shirt,Custom Family Reunion Shirt,"<p>A family reunion shirt that turns heads and tells your story. Custom-built around your names, colors, and theme - with meaning worked into every element, not pulled off a template. Printed on premium DTF for full-color, crack-resistant results.</p><p><em>Bold visuals that pop in photos, a message people read out loud, a design you feel proud to wear.</em></p>",Color Create Studio,,Custom Design Service,"shirt, apparel, family reunion, custom, dtf, Custom Celebration Design, Custom Design Service",FALSE,Format,Design File Only,,,,,CUSTOMFAMILYRE-01,0,,,continue,manual,35.00,,FALSE,TRUE,,,,,FALSE,Custom Family Reunion Shirt | Color Create Studio,,draft
custom-family-reunion-shirt,,,,,,,FALSE,Format,Print + Ship,,,,,CUSTOMFAMILYRE-02,200,,,continue,manual,60.00,,TRUE,TRUE,,,,,FALSE,,,draft
