Handle,Title,Body (HTML),Collection Type,Sort Order,Match Rule,Published,SEO Title,SEO Description
custom-celebration-design,Custom Celebration Design,"<p>Personalized designs for life's biggest moments. Custom shirts, signage, party suites, and details for birthdays, graduations, baby showers, reunions, and every milestone worth marking.</p>",smart (automated),best-selling,"Product tag is equal to ""Custom Celebration Design""",FALSE,Custom Celebration Design | Color Create Studio,"Shop custom celebration & party designs by Color Create Studio - personalized shirts, signs & full party suites for birthdays, graduations & milestones."
custom-event-graphics,Custom Event Graphics,"<p>Invitations, flyers, signage, and digital graphics that set the vibe and fill your guest list - designed to match your theme down to the detail.</p>",smart (automated),best-selling,"Product tag is equal to ""Custom Event Graphics""",FALSE,Custom Event Graphics | Color Create Studio,"Custom event graphics by Color Create Studio - invitations, flyers, welcome signs & announcements. Digital, print-ready, or printed & shipped."
custom-party-favor-designs,Custom Party Favor Designs,"<p>Make the little things look high-end. Custom labels, wrappers, toppers, and tags that tie your whole party theme together.</p>",smart (automated),best-selling,"Product tag is equal to ""Custom Party Favor Designs""",FALSE,Custom Party Favor Designs | Color Create Studio,"Custom party favor designs - chip bag labels, water bottle labels, wrappers, toppers & tags themed to match your party. By Color Create Studio."
memorial-tribute-design,Memorial & Tribute Design,"<p>Designed with warmth and respect. Programs, keepsakes, shirts, and tributes that honor a life and comfort everyone who gathers.</p>",smart (automated),best-selling,"Product tag is equal to ""Memorial & Tribute Design""",FALSE,Memorial & Tribute Design | Color Create Studio,"Memorial & tribute designs by Color Create Studio - programs, prayer cards, keepsakes & celebration-of-life pieces created with care."
business-design-services,Business Design Services,"<p>Look like a big brand overnight. Flyers, menus, business cards, social templates, and brand graphics for small businesses, creators, and vendors.</p>",smart (automated),best-selling,"Product tag is equal to ""Business Design Services""",FALSE,Business Design Services | Color Create Studio,"Small business design services - flyers, menus, business cards, social templates & brand graphics. Look established overnight. Color Create Studio."
canva-templates,Canva Templates,"<p>Self-editable designs you control. Edit your text, colors, and photos in Canva, then export print-ready - invitations, party favors, business, and creative templates.</p>",smart (automated),best-selling,"Product tag is equal to ""Canva Templates""",FALSE,Canva Templates | Color Create Studio,"Editable Canva templates by Color Create Studio - invitations, party favors, business & creative designs you customize yourself and download instantly."
digital-print-send,Digital Print + Send,"<p>Want the finished design without editing it yourself? Get a print-ready file delivered digitally, ready to print at home or anywhere.</p>",smart (automated),best-selling,"Product tag is equal to ""Digital Print + Send""",FALSE,Digital Print + Send | Color Create Studio,"Digital print + send designs by Color Create Studio - finished, print-ready files delivered to you. No editing required. Print anywhere."
print-ship,Print + Ship,"<p>Done-for-you and delivered. We print and ship the finished product to your door - shirts, signs, favors, cards, books, and more.</p>",smart (automated),best-selling,"Product tag is equal to ""Print + Ship""",FALSE,Print + Ship | Color Create Studio,"Print + ship products by Color Create Studio - done-for-you shirts, signs, favors, cards & books printed and shipped to your door."
nova-lai-kids-collection,Nova Lai Kids Collection,"<p>The children's branch of Color Create Studio. Screen-free coloring books, activity packs, and personalized creative products kids love.</p>",smart (automated),best-selling,"Product tag is equal to ""Nova Lai Kids Collection""",FALSE,Nova Lai Kids Collection | Color Create Studio,"Nova Lai kids collection - coloring books, activity packs & personalized creative products. Screen-free fun by Color Create Studio."
childrens-story-books,Children's Story Books,"<p>Emotionally driven stories about imagination, abundance, confidence, and family - plus custom story book writing, illustration, and design services.</p>",smart (automated),best-selling,"Product tag is equal to ""Children's Story Books""",FALSE,Children's Story Books | Color Create Studio,"Children's story books by Color Create Studio - imagination, abundance & family stories, personalized editions & custom book creation."
